date,nom,prise_de_parole
1881-01-11,DESSEAUX,La séance est ouverte à deux heures un quart.
1881-01-11,DESSEAUX,J'invite les six membres les plus jeunes de ''Assemblée à vouloir bien répondre à l'appel de leur nom pour prendre place au bureau en qualité de secrétaires provisoires.
1881-01-11,UN HUISSIER,"Sont successivement appelés : MM. Georges de Cassagnac, né le 17 févrièr 1855; Adrien Bastii, né Je 1er octobre 1853; Jules André, né le 23 août 1852 ; René Gautier, né le '25 avril 1852 ; Emile Réaux, né le 20 juin 1851 ; Le Provost de Launay fils, né le 8 juin1850;René Eschasseriaux, né le1.1mai1850; Louis Janvier de La Motte, né le 23 août 1849; Lanauve, né le 24 mai 1849; Dreyfus, né le 5 mai 1849 ; Marcellin Pellet, né le 4 mars 1849 ; De Loqueyssip, né le 1er octobre 1848; Le comte de Breteuil, né le 17 septembre 1848; Roy de Loulay, né le 8août1848;D3 La Porte, né le 20 juin 1848 ; Thomson, né le 21 janvier 1848."
1881-01-11,GEORGES DE CASSAGNAC,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,ADRIEN BASTII,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,JULES ANDRE,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,RENÉ GAUTIER,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,EMILE RÉAUX,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,LE PROVOST DE LAUNAY FILS,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,RENÉ ESCHASSERIAUX,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,LOUIS JANVIER DE LA MOTTE,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,LANAUVE,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,DREYFUS,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,MARCELLIN PELLET,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,DE LOQUEYSSIP,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,LE COMTE DE BRETEUIL,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,ROY DE LOULAY,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,D3 LA PORTE,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,THOMSON,Répond à l'appel de ses noms et prend placn au bureau.
1881-01-11,FOUROT,S'excusent de ne pouvoir assister à la séance de ce jour.
1881-01-11,DOUVILLE-MAILEFEU ET LAISANT,S'excusent de ne pouvoir assister à la séance de ce jour.
1881-01-11,LAUMOND,Demande un congé de vingt jours.
1881-01-11,LE PRESIDENT,La demande sera renvoyée à la commission des congés.
1881-01-11,LE PRESIDENT DE LOUIS LEGRAND,"J'ai reçu de M. Louis Legrand la lettre suivante, dont je donne connaissance à la Chambré:« Valenciennes, 9 janvier 1881.

'Monsieur le président,
'Je vous prie de vouloir bien annoncer à mes collègues que je ne me représente pas à leurs suffrages pour les fonctions de secrétaire. 
'jesaisis cette occasion pour remercier la Chambre de l'honneur qu'elle m'a fait en me choisissant comme l'un des membres de son bureau.

' Agréez, monsieur je président, i assurance de ma haute considération. 
' Lotis LEGRAND,
 ' Député du Nord.'"
1881-01-11,LE PRESIDENT DE DRUMEL,"J'ai reçu également de M. Drumel la lettre suivante:

' Neuvizy (Ardennes', 10 janvier 1881.

' Monsieur le président,
 ' Depuis deux ans,1*Chambre m'a fait l'honneur de m'appeler à siéger, comme secrétaire, dans son bureau. Je lui en suis profondement reconnaissant; et, en la priant de charger un autre de ses membres des fonctions que je tenais de sa confiance, je lui exprime ma vive gratitude pour les témoignages d'estime et de sympathie qu'à différentes reprises elle a bien voulu me donner.

' Veuillez croire, monsieur le président, à mes sentiments respectueux et dévoués.

'DRUMEL.'"
1881-01-11,LE PRESIDENT,L'ordre du jour appelle le tirage au sort des bureaux.
1881-01-11,LE PRESIDENT,Il va y être procédé.
1881-01-11,LE COMTE DE COLBERT-LAPLACE,Je demande la parole.
1881-01-11,GEORGES PERIN,Je demande la parole.
1881-01-11,LAROCHE-JOUBERT,Je demande la parole.
1881-01-11,LE ROI DE COLBERT-LAPLACE,La parole est à M. Perin.
1881-01-11,GEORGES PERIN,"Messieurs, je viens, au nom d'un certain nombre de mes amis et en mon nom personnel, demander à la Chambre de repousser la proposition d'ajournement qui vient d'être faLe pac noire honorable président. (Très bien ! très bien ! à droite et à l'extrême gauche.) Autant qu'il m'a été permis de l'entendre au milieu du bruit, je crois que la seule raison que notre honorable président ait fait valoir 7our justifier sa proposition, c'est que nousnenouspas en nombre. M. le président. J'ai dit que nous n'é tions pas en très-grand nombre."
1881-01-11,GEORGES PERIN,"Il suffi4 que nous soyons en nombre pour cemmencer nos travaux. (Très-bien ! très-bien ! à droite et à l'extrême gauche.) Or, nous sommes en nombre, et je demande que nous commencions ces travaux, parce que je ne voi¡ pas quelle raison légitime pourrait motiver un ajournement de la session nouvelle."
1881-01-11,LE PRESIDENT,Je soumets donc à la Chambre la proposi.tion de s'ajourner.
1881-01-11,GEORGES PERIN,"J'espère qu'en demandant que la Chambre commence immédiatement sa session, je serai soutenu par le cabinet, car je n'ai pas oublié, et personne n'a oublié que le cahinet, dans sa déclaration, ainsi que le président du conseil à cette tribune, ont dit que la Chambre avait un grand nombre de travaux à accomplir; que ces travaux, pour la plupart déjà achevés par les commissions, devaient être parfaits en séance publique dans le cours de la dernière session."
1881-01-11,LE PRESIDENT DU CONSEIL,Nous ne sommes pas payés pour ne rien faire !
1881-01-11,GEORGES PERIN,"Soit, mais je demanderai alors à l'honorable interrupteur, pourquoi les députés — et, ils sont. nombreux qui n'auront pas à voter dimanche prochain au scrutin de ballottage, sont absents en ce moment."
1881-01-11,HENRI VILLAIN,"Avant d'être député, on est électeur."
1881-01-11,GEORGES PERIN,"Il suffi4 que nous soyons en nombre pour cemmencer nos travaux. (Très-bien ! très-bien ! à droite et à l'extrême gauche.) Or, nous sommes en nombre, et je demande que nous commencions ces travaux, parce que je ne voi¡ pas quelle raison légitime pourrait motiver un ajournement de la session nouvelle."
1881-01-11,DE BAUDY-D'ASSON,Nous ne sommes pas payés pour ne rien faire !
1881-01-11,LE PRESIDENT,N'interrompez pas ! demandez Ja paroh.
1881-01-11,GEORGES PERIN,"Je crois que les devo'rs qu'impose le mandat de député priment tous les autres, qu'en ce moment le devoir de tout dépu.'é est d'être ici, et qu'il n'est pas de considération qui puisse excuser ceux de nos honorables collègues qui ne sont pas à leur banc."
1881-01-11,HENRI VILLAIN,"Avant d'être député, on est électeur."
1881-01-11,GEORGES PERIN,"Soit, mais je demanderai alors à l'honorable interrupteur, pourquoi les députés — et, ils sont. nombreux qui n'auront pas à voter dimanche prochain au scrutin de ballottage, sont absents en ce moment."
1881-01-11,LE PRESIDENT,Je demande que la Chambre ne se sépare pas avant d'avoir constitué son bureau.
1881-01-11,Janvier de la Motte,"m'excuserez donc de prévoir des circonstances exceptionnelles. Je suppose donc que des circonstances anormales se produisent pendant les dix jours qui vont courir, notre ancien bureau n'existe plus, ce serait donc à notre président d'âge qu'appartiendrait la prérogative présidentielle pendant cette intercession, qu'appartiendrait le droit de nous convoquer avant la fin de notre ajournement volontaire. Je veux bien que l'âge cette fois ait bien choisi, mais supposez des circonstances difficiles, supposez que le hasard de l'âge ait appelé au fauteuil de président un ennemi du pouvoir parlementaire ou - un incapable!"
1881-01-11,InterpretaUon,Je demande donc que la Chambre ne se sépare pas avant d'avoir constitué son bureau.
1881-01-11,Guichard,"Le motif pour lequel on vous demande de ne pas procéder aujourd'hui à la constitution de votrebureaudetiruiit""est le même que celui qui, lors de l'ouverture de la session de 1878, vous faisait ajourner la constitution du bureau définitif. A cette époque, vous avez voulu permettre à vos collègues de prendre part aux scrutins de ballottage dans les élections munitipalae. Vous avez même raison de témoigner de l'extrême importance que vous attachez aux élections municipales ; ce sont elles qui ont contribué, en 1872 et en 1874, à la fondation de la République; et dans ce moment où les électeurs municipaux, animés du même esprit que la majorité républicaine de la Chambre, se montrent des amis éclairés et dévoués de la République, nous ne devons pas païaîtrs indifférents à leurs patriotiques efforts."
1881-01-11,Janvier de la Motte,"Je pense, messieurs, que nous devons retarder la constitution de notre bureau, afin que. les membres de la Chambre puissent s'associer au triomphe d-3 l'opinion républicaine dans les scrutins de ballottage qui doivent avoir lieu, nous mettrons ainsi en lumière la communauté de sentiments qui animent les conseils municipaux et la Chambre des députés."
1881-01-11,Villain,"Il y a plus, messieurs, et je vous prie d'ac.corder un moment d'attention à cette nouvelle considération."
1881-01-11,Janvier de la Motte,"En supposant que nous soyons assez nombreux pour constituer notre bureau définitif, est il bien sûr que tous les membres présents seront exactse.çqu'ils monteront à cette tribune pour déposer les 268 bulletins nécessaires à la constitution de notre bureau, et croyezvous qu'il ne soit pis p'us prudent d'attendre que nous soyons plus nombreux encore, afin que le défaut d'exactitude d'ua certain nombre de nos collègues ne puisse pas compromettre la validité du scrutin destiné à constituer notre bureau définitif?"
1881-01-11,Janvier de la Motte,"Je crois que, lorsque nous avons un motif aussi sérieux, aussi national à donner que la nécessité de laisser nos collègues concourir aux élections municipales, nous ne devoas pas nous exposer au danger de voir notre scrutin frappé de nullité par suite de l'absence d'un certain nombre de nos collègues."
1881-01-11,Janvier de la Motte,"Si ceux qui insistent en ce moment pour que nous procédions immédiatement à la nomination de notre bureau veulent bien prendre ici l'engagement de votrer quand l'urne du scrutin sera déposée sur la tribune, je n'aurai plus d'objection à faire ; mais jusqu'à ce que cet engagement soit pris, je dis que la dignité de la Chambre s'oppose à ceqllenous nous exposions à tentor un scrutin qui serait nul, faute de réunir 268 bulletins."
1881-01-11,Janvier de la Motte,"C'est pourquoi j'insiste pour l'adoption da !a motion de notre honorable président d'àg, motion que, sur sa proposition, vous avez déià votée il y a trois ans. En terminant, je fais des vœux pour qu'il puisse encore de longues années présider à l'ouverture de nos sessions."
1881-01-11,Janvier de la Motte (Eure),Je demande la parole. (Exclamations à gauche. — Aux vois 1 aux voix ! - La c'ôture 1)
1881-01-11,Provost de Launay fils,Nous protestons contre ces cris indécents.
1881-01-11,Charles Abbatucci,"Si vous n'êtes pas en nombre, vous ne pouvez pas voter l'ajournement."
1881-01-11,Janvier de la Motte (Elue),"Je demande la parole pour un rappel au règlement, et dans ces conditions elle ne peut m'être reragée. -..:J'aiai%tarda a monter alatribune, aboyant que le Gouvernement allait répondre. (Exclamations ironiques à gauche.) M. Cantagrel. Il n'a pas besoin de parler."
1881-01-11,Henri Villain,"Le Gouvernement n'a pas à intervenir, la Chambre est maitresse de son ordre du jour, c'est à elle seule qu'il appartient de le régler."
