date,nom,prise_de_parole
1909-01-22,SENAC,"Messieurs, je suis le représentant d'un arrondissement, celui de Castelsarrasin, qui a été particulièrement éprouvé, dans ces deux ou trois dernières années, par une série d'accidents, de tamponnements et de catastrophes qui ont ému profondement les populations de ma circonscription et des circonscriptions voisines. Après le dernier accident de Grisolles, j'ai cru qu'il était de mon devoir de prendre la parole. Vous avez déjà cependant entendu, sur cette même question qui intéresse si vivement la compagnie du Midi, des discours particulièrement éloquents de M. Albert Sarraut, de M. Bedouce et de plusieurs autres de nos collègues. Ils ont établi clairement et avec évidence que la compagnie du Midi avait commis des fautes d'incurie et dimprévoyance, qu'elle avait commis également des fautes d'une gravité telle qu'on peut se demander, par moment, si sa responsabilité réelle, pour faute lourde, ne peut pas se trouver engagée. C'est pour tous ces motirfs que j'ai cru devoir maintenir' mon interpellation qui, au reste, ne peut pas 's'arrêter exclusivement à cet accident de Grisolles. Comme l'ont dit les orateurs qui m'ont précédé à la tribune, à propos de ces mêmes laits, il est nécessaire de savoir quelle est la situation de la compagnie du Midi. Peut-être aussi devons-nous rechercher s'il n'y a pas de responsabilités encourues soit par le Parlement, soit par le Gouvernement Tel est 1 ensemble des questions que je me propose d'étudicr devant la Chambre."
1909-01-22,Charron d'Abjac,"Félicien Girard, tonnelier à Angoulême ; Jean Dubois, gendarme à Orange; Pierre Desroziers, charretier à Angoulême; Daniel Grossias, de Fouroque (Dordogne) ; André Carmel, tonnelier (Dordogne) Laurent Presque tous étaient des réservistes et territeriaux qui venaient d'accomplir à Nîmes, à Avignon, une période d'instruction : à tous les parents de ces victimes du devoir, nous adressons nos condoléances les plus vives et les plus sincères."
1909-01-22,Non identifié,"Mon devoir est maintenant de signaler à la Chambre ceux qui sont venus immédiatement apporter le concours de leur bonne volonté et de leur énergie, afin de dégager les morts et afin surtout de soigner les blessés le plus rapidement possible."
1909-01-22,Qhardon,"Je veux placer le préfet de Tarn-et-Garonne, M. Qhardon, qui, du reste, à cause de sa brillante conduite, vient de recevoir la décoration de la Légion d'honneur, ce dont je le félicite."
1909-01-22,Non identifié,M. Albert Sarraut. C'est un fonctionnaire modèle.
1909-01-22,Sénac,"Il est resté, ainsi que le souspréfet de Castelsarrasin, M. Charbonnier, sur les lieux pendant deux jours consécutifs. Je les félicite de cet acte de dévouement à la cause publique, qu'ils ont ainsi manifesté par leur présence constante à Grisolles."
1909-01-22,Rouan,"Il y a encore M. Rouan, capitaine de gendarmerie;"
1909-01-22,Non identifié,le procureur de la République demif«;afror!î?8mM. Laganne.
1909-01-22,d AsUé,"commIssaIredepolice à Casteisarrasin,"
1909-01-22,Non identifié,qui tous ont donné leur concours afin de remédier lenement était possible à ce terrible événement.
