date,nom,prise_de_parole
1907-06-28,Augé,"Communication, par M. le ministre de laeuPMdu compte rendu sur le recrutementdel'arméepour l'année 1905."
1907-06-28,Aldy,"demande d'inerpellation'Lalrei de M. Aldy, sur les mesures de réMidi-employées dans les événements duMidiLa"
1907-06-28,Augé,sur la politique du Gouvernement dans les événements du Midi.
1907-06-28,Dedouee,interpellation sur l'attitude du Gouvernement
1907-06-28,Paul-Meunier,sur l'attitude du Gouvernement
1907-06-28,Gauthier (de Clagny),demande de priorité enfaveurde leurs ordres du jour.
1907-06-28,Allard et plusieurs de ses collègues,démarche : M. Allard
1907-06-28,Lagasse,"Rejet, au scrutin, de la priorité en faveur de l'ordre du jour de M. Lagasse."
1907-06-28,"Beauquier, Villcjean, Gaston Menier ef Modeste Leroy","Ordre du jour de MM. Beauquier, Villcjean, Gaston Menier ef Modeste Leroy : MM. Lasies, le ministre de la guerre."
1907-06-28,Thierry-Caze,"Adoption, au scrutin."
1907-06-28,Paul-Meunier,"demande d'enquête de M. Paul-Meunier: MM. le président du conseil, ministre de l'intérieur; Jaurès."
1907-06-28,Janet,"Dépôt, par M. Janet, d'un rapport supplémentaire fait au nom de la commission des mines sur la proposition de loi de M. Basly tendant à limiter à huit heures au maximum la durée du travail dans les mines."
1907-06-28,Léon Mougeot,"d'un rapport supplémentaire fait au nom de la commission du budget sur le projet de loi con- cernant : 1° l'ouverture et l'annulation de crédits sur l'exercice 1906, au titré du budget général; 2° l'ouverture et l'annulation de crédits sur l'exercice 1907, au titre du budget général : 3° l'ouverture de crédits sur les exercices 1906 et 1907, au titre des budgets annexes."
1907-06-28,Maurice Viollette,"d'un rapport fait au nom de la commission de la réforme judiciaire et de la législation civile et criminelle sur la proposition de loi, adoptée par la Chambre des députés, adoptée avec modifications par le Sénat, relative au libre salaire de la femme mariée et à la contribution des époux aux charges du ménage."
1907-06-28,VIOLETTE,"Dépôt, par M. Maurice Viollette, d'un rapport fait au nom de la commission de la réforme judiciaire et de la législation civile et criminelle sur la proposition de loi, adoptée par la Chambre des députés, adoptée avec modifications par le Sénat, relative au libre salaire de la femme mariée et à la contribution des époux aux charges du ménage."
1907-06-28,LAROCHE,"Dépôt, par M. Hippolyte Laroche, d'une proposition de loi sur la publicité des séances des conseils d'arrondissement."
1907-06-28,FERRETTE,"Dépôt, par M. Ferrette, d'une proposition de loi ayant pour but d'exempter des contributions directes les vignes laissées en friche."
1907-06-28,DESPLAS,"Dépôt, par M. Desplas, d'une proposition de loi tendant à modifier l'article 419 du code pénal, de façon à permettre la constitution de cartels destinés à éviter les conséquences de la surproduction."
1907-06-28,DESPLAS,"Dépôt, par M. Desplas, d'une proposition de loi tendant à permettre une expérimentation générale de l'impôt sur le revenu dans la France entière."
1907-06-28,CARNOT,M. François Carnot s'excuse de ne pouvoir assister à la séance de ce jour.
1907-06-28,LA BATUT,"M. de La Batut s'excuse de ne pouvoir, pendant quelques jours, assister aux séances de la Chambre."
1907-06-28,MAHIUEU ET SUCHETET,MM. Mahieu et Suchetet s'excusent de ne pouvoir assister à la séance de ce jour et demandent des congés.
1907-06-28,PRESIDENCE DE M. HENRI BRISSON,La séance est ouverte à déux heures.
