date,nom,prise_de_parole
1907-11-26,Barthou,"J'ai demandé la parole pour faire, à l'occasion d'un discours prononcé à la séance de vendredi matin par M.. Félix Chautemps, une observation qui me paraît nécessaire. Je ne pouvais pas la présenter sous forme de rectification au procès-verbal, parce que je suis sûr que le procès-verbal a très exactement rapporté les paroles de notre honorable collègue."
1907-11-26,Felix Chautemps,"J'ajoute que M. le ministre des postes et des télégraphes a indiqué, dans des conversations particulières, et même à la délégation qui est allée le trouver, qu'il ne serait pas éloigné d'accorder."
1907-11-26,Barthou,"Je n'ai jamais fait de pareilles déclarations. M. Félix Chautemps. Monsieur le soussecrétaire d'Etat, je parle de M. Barthou."
1907-11-26,Barthou,"J'ai reconnu et je reconnais que ces agents étaient très bien notés; j'ai reconnu-et je reconnais que leur attitude depuis la révocation a été correcte, et que l'un d'entre eux est digne d'une attention particulière, mais je n'ai pas dit que j'étais partisan d'une mesure de clémence immédiate."
1907-11-26,Vaillant,"C'est dommage ! M. le ministre des travaux publics, des postes et des télégraphes. J'ai déclaré, comme M. le président du conseil lui-même, que la question, qui est une question de gouvernement, ne pourrait se poser utilement qu'après le vote de la loi sur le statut des fonctionnaires."
1907-11-26,Vaillant,"Je rappelle à la Chambre que ceux-ci avaient été frappés une première fois de révocation à la suite de la grève dont ils avaient été les instigateurs. Leur signature au bas de la lettre adressée à M. le président du conseil constituait une véritable récidive, aggravée depuis par leurs propos et par leurs actes."
1907-11-26,Barthou,"Je déclare très nettement que je perdrais toute autorité sur les services dont j'ai la direction et la responsabilité, si je pouvais envisager pour un moment quelconque la réintégration de ces sous-agents dans l'administration. Le jour où ils y entreraient, j'en serais sorti."
1907-11-26,Vaillant,Il faut espérer que la Chambre demandera et obtiendra leur réintégration.
1907-11-26,Barthou,"La Chambre se prononcera entre vous et moi,"
1907-11-26,President,"« Chap. 9. — Chaussures et habillement, 6,438,721 fr. » Personne ne demande la parole sur ce chapitre ?."
1907-11-26,President,"Je le mets aux voix. (Le chapitre 9, mis aux voix, est adopté.) M. le président. « Chap. 10. — Matériel des bureaux, 13,736,949 fr. » La parole est à M. Vaillant."
1907-11-26,Vaillant,"J'ai deux questions à adresser à M. le sous-secrétaire d'Etat. La première est relative à l'installation, à l'entrée des stations du métropolitain de Paris, des boîtes ou bornes postales pour lesquelles la Chambre avait voté un crédit au budget de 1907."
1907-11-26,Vaillant,La seconde question est beaucoup plus importante : elle concerne l'hygiène des bureaux.
1907-11-26,VAILLAN,"La première est relative à l'installation, à l'entrée des stations du métropolitain de Paris, des boîtes ou bornes postales pour lesquelles la Chambre avait voté un crédit au budget de 1907. Comme l'administration n'a pas demandé le maintien de ce crédit pour 1908, je supppose que cette installation aura lieu incessamment. Dans tous les cas, je demande à M. le sous-secrétaire d'Etat de ilous renseigner."
1907-11-26,VAILLAN,"La seconde question est beaucoup plus importante : elle concerne l'hygiène des bureaux. Il y a tout d'abord des conditions hygiéniques nécessaires de'construction, d'installation, d'aménagement et de service, qu'il faut strictement observer. M. le sous-secrétaire d'Etat en a dit quelques mots à la dernière séance. Mais la question spéciale sur laquelle j'insiste tout particulièrement est celle que j'avais portée devant la Chambre l'année dernière. A ce moment, à la demande de M. le sous-secrétaire d'Etat et de M. le rapporteur, j'avais retiré un amendement à ce propos. Il avait pour objet l'enlèvement pneumatique des poussières dans les bureaux de poste. M. le sous-secrétaire avait déclaré qu'il étudierait cette question en vue d'une réalisation prochaine. Je ne sais pas si l'étude a été faite dans les conditions désirables et nécessaires pour cette réalisation prochaine; M. le sous-secrétaire d'Etat nous le dira. En tout cas, je crois qu'une solution de cette question s'impose d'urgence."
1907-11-26,SIMYAN,"La question dont l'honorable M. Vaillant vient d'entretenir la Chambre me préoccupe depuis longtemps ; je puis l'assurer qu'elle est en très bonne voie de solution. Dans le prochain cahier des charges relatif au nettoyage des bureaux de Paris, l'administration a prévu l'enlèvement des poussières par le vide; l'adjudication aura lieu dans deux mois environ."
1907-11-26,VAILLAN,"En ce qui concerne Paris, je remercie M. le sous-secrétaire d'Etat de sa promesse, d'autant plus qu'il la réalisera rapidement. II voudra bien aussi tenir compte de l'indication de notre collègue M. Breton ; avec notre collègue, je lui demande expressément de ne pas s'en tenir aux bureaux de Paris."
1907-11-26,SIMYAN,Bien entendu !
1907-11-26,VAILLAN,"et de vouloir bien — je suis entièrement d'accord avec M. le rapporteur pour le lui demander — considérer que cette réforme urgente est aussi nécessaire pour tous les bureaux de province, urbains et ruraux, que pour Paris."
1907-11-26,SIMYAN,"Satisfaction est donnée au désir exprimé par M. Vaillant, car j'ai décidé récemment qu'une note particulière sur la tenue des bureaux serait attribuée aux receveurs, pour bien indiquer l'importance que j'attache à ce que les bureaux soient constamment entretenus en parfait état."
1907-11-26,ALDY,"J'appelle l'attention de M. le sous-secrétaire d'Etat des postes et des télégraphes sur l'état déplorable où se trouve, au point de vue de l'installation des services et de l'hygiène, le bureau des postes et des télégraphes de Narbonne."
1907-11-26,Noulens,"Messieurs, comme rapporteur du budget des postes et des télégraphes, j'ai été saisi, soit par des commerçants isolés, soit par des chambres de commerce ou des syndicats patronaux, de diverses réclamations contre les retards et les erreurs que l'on constate journellement dans les correspondances postales et les transmissions télégraphiques."
