mot,nom,nom_trouve_pres_du_mot,mot_trouve_pres_du_nom,total
levée,Alexandre,1098,1098,2196
ligne,Rendu,1068,1068,2136
rivière,Georges,685,685,1370
prix,Vendre,685,685,1370
prix,Jules,663,663,1326
compagnie,Nord,623,623,1246
travaux publics,Février,620,616,1236
prix,Louis,596,596,1192
levée,Rendu,589,589,1178
rivière,Jules,585,585,1170
prix,Georges,582,582,1164
prix,Sens,581,581,1162
travaux publics,Paul,579,572,1151
rivière,Louis,574,574,1148
chenal,Chenal,567,567,1134
travaux publics,Louis,570,563,1133
levée,Emile,533,533,1066
prix,Nord,528,528,1056
travaux publics,Rendu,529,526,1055
rivière,Albert,516,516,1032
prix,Léon,513,513,1026
levée,Gabriel,505,505,1010
rivière,Martin,496,496,992
travaux publics,Nord,496,490,986
rivière,Léon,487,487,974
rivière,Camille,480,480,960
prix,Saint-Prix,474,474,948
levée,Raynaud,466,466,932
rivière,Roche,462,462,924
rivière,Saint-Martin,460,460,920
travaux publics,Charles,458,452,910
prix,Richard,453,453,906
prix,Paul,453,453,906
rivière,Benjamin,451,451,902
prix,Del,443,443,886
rivière,Pierre,443,443,886
frais,Del,437,437,874
travaux publics,Maurice,440,431,871
prix,Martin,432,432,864
rivière,Richard,430,430,860
prix,Roche,430,430,860
rivière,Steeg,428,428,856
travaux publics,Sens,426,422,848
ligne,Nord,422,422,844
rivière,Thomson,417,417,834
prix,Rouvier,413,413,826
rivière,Salis,413,413,826
rivière,Edouard,411,411,822
rivière,Tony,407,407,814
travaux publics,Pierre,404,397,801
prix,Février,400,400,800
travaux publics,Jules,401,398,799
prix,Raynal,399,399,798
travaux publics,Georges,397,395,792
chenal,Jules,396,396,792
prix,Esprit,394,394,788
prix,Steeg,393,393,786
prix,Thomson,393,393,786
prix,Faisant,391,391,782
chenal,Georges,391,391,782
travaux publics,Jean,394,388,782
prix,Tondu,390,390,780
prix,Royer,387,387,774
chenal,Charles,386,386,772
rivière,Antonin,385,385,770
rivière,Sarrien,384,384,768
rivière,Alphonse,384,384,768
prix,Camille,382,382,764
