mot,nom,count,occ_mot,occ_nom,p_nom_si_mot,p_mot_si_nom,pmi
levée,Alexandre,1098,5853,18291,0.1875961045617632,0.060029522716089884,6.689161663828518
ligne,Rendu,1068,24938,23037,0.04282620899831582,0.04636020315145201,4.225278771225919
prix,Vendre,685,56952,4915,0.012027672425902514,0.13936927772126145,4.621831810235968
rivière,Georges,685,4363,93379,0.15700206280082513,0.007335696462802129,4.080351120677696
prix,Jules,663,56952,116598,0.011641382216603456,0.005686203879997942,0.00652887702121182
compagnie,Nord,623,41266,62683,0.015097174429312266,0.009938898904009062,1.2769419831380577
travaux publics,Février,620,50480,28173,0.012282091917591125,0.022006886025627375,2.1329807582093134
prix,Louis,596,56952,106741,0.010464952942829049,0.00558360892253211,-0.019739052707958473
levée,Rendu,589,5853,23037,0.10063215445070904,0.02556756522116595,5.457804246849451
rivière,Jules,585,4363,116598,0.13408205363282144,0.005017238717645243,3.5323107589179954
prix,Georges,582,56952,93379,0.01021913190054783,0.006232664731899035,0.13891215819948596
prix,Sens,581,56952,30617,0.010201573254670599,0.01897638566809289,1.745196379863936
travaux publics,Paul,579,50480,131300,0.011469889064976228,0.00440974866717441,-0.18620592301715963
rivière,Louis,574,4363,106741,0.13156085262434106,0.005377502552908442,3.632353481044172
travaux publics,Louis,570,50480,106741,0.011291600633914422,0.0053400286675223205,0.08994513192717711
chenal,Chenal,567,1782,1782,0.3181818181818182,0.3181818181818182,10.810947901429511
levée,Emile,533,5853,58742,0.09106441141295063,0.009073575976303157,3.9632326132003834
travaux publics,Rendu,529,50480,23037,0.010479397781299525,0.022963059426140558,2.1943406085932877
prix,Nord,528,56952,62683,0.009270965023177412,0.008423336470813458,0.5734548447704007
rivière,Albert,516,4363,59044,0.11826724730689893,0.00873924530858343,4.332925875374613
prix,Léon,513,56952,61293,0.009007585335018964,0.008369634379129754,0.5642276501121777
levée,Gabriel,505,5853,13753,0.08628053989407142,0.036719261252090456,5.980026500159784
rivière,Martin,496,4363,33672,0.1136832454732982,0.014730339748158707,5.086135977200446
travaux publics,Nord,496,50480,62683,0.0098256735340729,0.007912831230158098,0.6572916318440155
rivière,Léon,487,4363,61293,0.11162044464817786,0.007945442383306413,4.19554472412607
rivière,Camille,480,4363,40165,0.1100160440064176,0.011950703348686668,4.784440800699023
